Js=https://clonglii.serv00.net/user_data/youtube020.js?t=1719035247000
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Decoder=3

🍀20241029更新🍀,#genre#
更新說明,http://159.75.85.63:35455/huya/13303478
更新🆙線路,http://159.75.85.63:35455/huya/15152155
YT直播請升級(2.5.8),https://live.metshop.top/douyu/9986305
本線路無法觀看,http://159.75.85.63:35455/huya/593667
可切換其他線路,http://159.75.85.63:35455/huya/16739452

🇹🇼Youtube新聞,#genre#
parse=2
player=2

TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
中文國際,https://www.youtube.com/watch?v=twhG7_jvA8g
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
亞洲新聞,https://www.youtube.com/watch?v=XWq5kBlakcQ
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
德國之聲,https://www.youtube.com/watch?v=tZT2MCYu6Zw
日本新聞,https://www.youtube.com/watch?v=coYw-eVU0Ks
東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk
東森財經,https://www.youtube.com/watch?v=WHEPzbFA3hw
歐洲新聞,https://www.youtube.com/watch?v=pykpO5kQJ98
法國新聞,https://www.youtube.com/watch?v=Ap-UM1O9RBU
美國新聞,https://www.youtube.com/watch?v=-mvUkiILTqI
英國新聞,https://www.youtube.com/watch?v=oJUvTVdTMyY
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
韓國新聞,https://www.youtube.com/watch?v=FJfwehhzIhw
鳳凰衛視,https://www.youtube.com/watch?v=HFib76ySpbU

🇹🇼Youtube綜合,#genre#
parse=2
player=2
Beep Beep,https://www.youtube.com/watch?v=BK3uSeJaC58
MOMO親子台,https://www.youtube.com/watch?v=LvPgP4ARP3Y
Muse木棉花-TW,https://www.youtube.com/watch?v=0p5JuRvmLHA
Muse木棉花-闔家歡,https://www.youtube.com/watch?v=_jP5o1W3eW0
YOYO TV,https://www.youtube.com/watch?v=IAGgSVzXIJM
寶寶巴士,https://www.youtube.com/watch?v=rgWQ2mBzmdo
小寶貝布姆,https://www.youtube.com/watch?v=uYv_HvA9pw4
救援小英雄波力,https://www.youtube.com/watch?v=zGCU1qciPD4
汪汪隊立大功,https://www.youtube.com/watch?v=gosmqSjMgV8
碰碰狐,https://www.youtube.com/watch?v=k9whG6P74EU
粉紅豬小妹,https://www.youtube.com/watch?v=bf0EVbSuFGs
貝樂虎,https://www.youtube.com/watch?v=yfNbGTszDyw
我們這一家,https://www.youtube.com/watch?v=UK81GCw1KE8
新哆啦A夢,https://www.youtube.com/watch?v=hpXMNZFjWr8
蠟筆小新TV版,https://www.youtube.com/watch?v=_jP5o1W3eW0
中華一番,https://www.youtube.com/watch?v=2FJcu6qsM2k
大陸尋奇24H,https://www.youtube.com/watch?v=h0mUy0edJK0
三國24H,https://www.youtube.com/watch?v=Njvo1ce2v90
水滸傳24H,https://www.youtube.com/watch?v=hP4sQJikwCk

🇹🇼台灣電視¹🆙,#genre#
parse=2
player=2
AXN,http://50.7.234.10:8278/axn_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=ef65538f6c01924d72c6a0e75f36e60d
CINEMAX,http://50.7.234.10:8278/cinemax_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=d90050abd53d6edee6972da57757242a
EYE戲劇,http://50.7.234.10:8278/eyetvxiju_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=79e67365d44bc09f217c353263327381
EYE旅遊,http://50.7.234.10:8278/eyetvtravel_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=75f890715380cf48c9a573bed26a3cab
HBO,http://50.7.234.10:8278/hbohd_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=090dc9ce31b300b3055afbf7e2bcec02
HBO Family,http://50.7.234.10:8278/fyi_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=bcc5206828852d871fb693e1424cb065
好萊塢電影台,http://50.7.234.10:8278/hollywoodmovies_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=89b2d385d08fe9fbb4e008d59dc8f1b9
MTV Live,http://50.7.234.10:8278/mtvhd_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=d3510fe75dcb784664888ca1027df288
TLC旅遊生活,http://50.7.234.10:8278/tlc_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=46cf202b15551449e2c2cfdb0166d6f4
東森新聞,http://50.7.234.10:8278/ettvnews/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=9a0731b42826903e465c2e3ded47b7b9
TVBS HD,http://50.7.234.10:8278/tvbs/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=531ab38cdc576d36ab18039fcf944e65
TVBS新聞台,http://50.7.234.10:8278/tvbs_n/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=e1329b1f962fe43ce502902f0cad209c
TVBS歡樂台,http://50.7.234.10:8278/tvbshuanle_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=846d88a5b09c6665d486a53023447353
三立台灣台,http://50.7.234.10:8278/sanlitaiwan/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=f4e9908d71d1930ce389430ef387712e
三立戲劇台,http://50.7.234.10:8278/sanlixiju_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=7c12470a2fc50c9bbbe18bfde805ae1b
三立綜合台,http://50.7.234.10:8278/sanlizhonghe/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=2cfec3b545ed1903e5bdaae8adffa38e
中天亞洲台,http://50.7.234.10:8278/ctiasia_twn/playlist.m3u8?tid=MF7F5665582956655829&ct=19396&tsum=84d61389d34533bedec970a54355123d
